artista,música,plataforma,url
Lil Chainz,Não sei o que você viu em mim,YouTube,https://www.youtube.com/watch?v=F23bMH1LJ9E
Lil Chainz,Apaixonadin,YouTube,https://www.youtube.com/watch?v=3GSuJJr5OSQ
Lil Chainz,Eu te fiz sofrer,YouTube,https://www.youtube.com/watch?v=D9Fsa2XPa3A
Lil Chainz,Diário das minhas lamentações,YouTube,https://www.youtube.com/watch?v=4MuwKmcyA9g
Lil Chainz,Levo minha vida nesse corre,YouTube,https://www.youtube.com/watch?v=uEgBjiDp3-Q
Lil Chainz,Fiz essa pra você lembrar de mim,YouTube,https://www.youtube.com/watch?v=_0hwPO2SxS4
Lil Chainz,Música pra quem partiu,YouTube,https://www.youtube.com/watch?v=6FjQioSdIi0
Lil Chainz,Quando você vai entender,YouTube,https://www.youtube.com/watch?v=AMzu6vgqMmA
Lil Chainz,Trap Story,YouTube,https://www.youtube.com/watch?v=o3WklS0PpnM
Lil Chainz,Canção pra ela...,YouTube,https://www.youtube.com/watch?v=pffrlweHKVo
Lil Chainz,É facin fazer trap,YouTube,https://www.youtube.com/watch?v=suPue_LSzKQ
Lil Chainz,Musa de cinema,YouTube,https://www.youtube.com/watch?v=8hy3nl7Gw0Q
Lil Chainz,Prada,YouTube,https://www.youtube.com/watch?v=nlTAOJYdDDc
Lil Chainz,Não vou falar de amor,YouTube,https://www.youtube.com/watch?v=0sfMUKzt9Mo
Lil Chainz,Cada um pro seu lado,YouTube,https://www.youtube.com/watch?v=2zQOnmXnxVo
Lil Chainz,Espero que tu esteja lá,YouTube,https://www.youtube.com/watch?v=iFdBiIMdwRU
Lil Chainz,"Af, tô muito apaixonado",YouTube,https://www.youtube.com/watch?v=kXhatIWCSaU
Lil Chainz,Sinto Tanta Falta de Nós,YouTube,https://www.youtube.com/watch?v=qVEOBR7wpVY
Lil Chainz,Não Existe Final Feliz,YouTube,https://www.youtube.com/watch?v=zsuZ8IfirVY
Lil Chainz,Olhos de Lua,YouTube,https://www.youtube.com/watch?v=jIAZ0QA22fg
Lil Chainz,Confesso que sinto falta,YouTube Music,https://www.youtube.com/watch?v=sSCFeC3vo60
Lil Chainz,Você me iludiu,YouTube Music,https://www.youtube.com/watch?v=9LmZu_6tvU4
Lil Chainz,Não precisa pedir perdão,YouTube Music,https://www.youtube.com/watch?v=Ym9WAh5Dnyg
Lil Chainz,Se arrependeu de vacilar comigo?,YouTube Music,https://www.youtube.com/watch?v=fL4-ZIIUIik
Lil Chainz,Você tem muito ego,YouTube Music,https://www.youtube.com/watch?v=YWYqcrH5tr4
Lil Chainz,Amar é mó bom,YouTube Music,https://www.youtube.com/watch?v=gmR49GCKWEI
Lil Chainz,Você só quer biscoitar,YouTube Music,https://www.youtube.com/watch?v=MkHMDrtYgsI
Lil Chainz,Não sei se eu vou,YouTube Music,https://www.youtube.com/watch?v=4ZJZFJy47uY
Lil Chainz,Te bloqueei de tudo,YouTube Music,https://www.youtube.com/watch?v=eHV7ZO73Wa8
Lil Chainz,Low profile,YouTube Music,https://www.youtube.com/watch?v=i7z9gSVAwKc
Lil Chainz,Quando você me deixou,YouTube Music,https://www.youtube.com/watch?v=o8_WenDcKyc
Lil Chainz,Lembra daquele dia?,YouTube Music,https://www.youtube.com/watch?v=1zJAKsPXMAM
Lil Chainz,Amar quase me matou,YouTube Music,https://www.youtube.com/watch?v=fBu8-HHu-Ho
Lil Chainz,Nem sei mais amar,YouTube Music,https://www.youtube.com/watch?v=j1gywL81Nms
Lil Chainz,Quando você passa,YouTube Music,https://www.youtube.com/watch?v=R824YQ9Ut8s
Lil Chainz,Como esquecer ela?,YouTube Music,https://www.youtube.com/watch?v=VLoTlZEEfKU
Lil Chainz,Desse jeito não vai dar,YouTube Music,https://www.youtube.com/watch?v=S67tHQVRZ-Q
Lil Chainz,Promete nunca me deixar?,YouTube Music,https://www.youtube.com/watch?v=plgIKQD1tYA
Lil Chainz,Lembranças daquele verão (Interlúdio),YouTube Music,https://www.youtube.com/watch?v=53EqZmxLHXA
Lil Chainz,Insegurança,YouTube Music,https://www.youtube.com/watch?v=vt71YCUf0A8
Lil Chainz,Mais uma música pra ela,YouTube Music,https://www.youtube.com/watch?v=K9F04tmXGt8
